Spanish_text,English_text
"Esta tesis quiere profundizar sobre el caso del Concelho de Odemira, distrito de Beja, en la región del Alentejo portugués. En este curioso destino migratorio europeo confluyen flujos migratorios muy distintos, y en donde conviven autóctonos con extranjeros con distintas nacionalidades y con distintos proyectos migratorios. En resumen, el objetivo concreto, aunque amplio, es el de analizar las dinámicas de convivencia que se producen en un entorno rural tradicional convertido en un contexto multicultural por la elevada presencia de extranjeros de distintas nacionalidades, se plantea en tres niveles: (1) un nivel macro atento a cómo se configura el territorio en cuanto destino migratorio, (2) un nivel meso centrado en las condiciones laborales e identidades colectivas en juego, y (3) un nivel micro que remite a la convivencia y comunicación cotidiana entre vecinos de distintas culturas. Por tanto, la tesis se plantea como un único estudio de caso en profundidad, definido como un caso de superdiversidad migratoria en el medio rural. Para construir y analizar el caso, se emplearán técnicas fundamentalmente cualitativas. En concreto, se sostiene sobre una metodología etnográfica que combina la documentación con la recogida de información a través de la observación participante y de la realización de entrevistas.","This thesis wants to delve into the case of the Concelho de Odemira, Beja district, in the Portuguese Alentejo region. In this curious European migratory destination where very different migratory flows converge, and where autochthonous coexist with foreigners of different nationalities and with different migratory projects. In summary, the concrete but broad objective of analyzing the dynamics of coexistence that occur in a traditional rural environment turned into a multicultural context due to the high presence of foreigners of different nationalities, arises in three levels: (1) a macro level focused on to how to set up the territory in terms of migration destination, (2) a “meso” level focused on working conditions and collective identities at stake, and (3) a micro level that refers to the coexistence and everyday communication between neighbors of different cultures. Therefore, the thesis is presented as a single in depth case study, defined as a case of migratory superdiversity in a rural context. In order to construct and analyze the case, mainly qualitive techniques should be used, in particular, an ethnographic methodology that combines documentation with the collection of information through participant observation and interviews."
"La violencia en sus diversas variantes está presente en todos los ámbitos de la sociedad. Este fenómeno impacta a un alto por ciento de los niños en todo el mundo, tanto en países desarrollados, como en los que se presentan altos niveles de desigualdades entre sus habitantes y la paridad del poder adquisitivo. La globalización y la continua búsqueda de las naciones por desarrollar tecnologías emergentes ha traído consigo grandes beneficios para la humanidad, prosperidad y trascendencia en las fronteras culturales. Asimismo, son estas nuevas tecnologías las que pueden llegar a fomentar las desigualdades, conductas antisociales y la legitimación de los actos de violencia entre iguales. La educación está en constante transmutación como consecuencia de los factores políticos, sociales, culturales y globales que permean sus contextos. La investigación titulada: Estudio de la opinión de los futuros docentes sobre la violencia escolar y sus repercusiones en el ámbito de la educación superior: Estrategias de prevención e intervención; adviene ante las alarmantes cifras de violencia en los contextos escolares, no solo en Puerto Rico, también a nivel mundial. Reconociendo la aventajada postura que exhibe el maestro en los escenarios escolares para la transformación de la vida de sus alumnos y la prevención de los actos de agresión y violencia pretendemos establecer la posible relación entre la violencia escolar y el nivel de capacitación que tiene el futuro profesorado para enfrentar situaciones de violencias en los ambientes escolares. Asimismo, comprendan e implanten estrategias efectivas dirigidas a la prevención e intervención para combatir los actos violentos entre iguales; creando un ambiente seguro y de paz en la comunidad de aprendizaje.","Violence in its several variations is present in all areas of society. This phenomenon impacts a high percentage of children worldwide, both in developed countries and in those with high levels of disparities among its people and obtaining power equality. Globalization and the continued quest of nations to develop emerging technologies has brought great benefits to humanity, prosperity, and transcendence on cultural boundaries. It is also these new technologies that can foster inequalities, anti-social behaviors, and the legitimization of acts of peer violence. Education is constantly changing because of the political, social, cultural, and global factors that permeate its contexts. Estudio de la opinión de los futuros docentes sobre la violencia escolar y sus repercusiones en el ámbito de la educación superior: Estrategias de prevención e intervención; comes because of the alarming number of violence events in school contexts, in Puerto Rico and globally. Recognizing the valuable attitude that teacher exhibits in school settings for the transformation of the lives of their students and the prevention of hostility acts and violence and the level of training that the future teachers have to face situations of violence in school environments. They also include and implement effective strategies aimed at prevention and intervention to combat violent acts among the same, creating a safe and peaceful environment in the learning community."
"Esta tesis doctoral es un ensayo clínico que, en pacientes con infarto agudo de miocardio con elevación del segmento ST y enfermedad multivaso en los que se trata con éxito la arteria responsable del infarto mediante intervencionismo coronario, compara dos estrategias de revascularización de las lesiones no responsables del infarto. Los pacientes fueron aleatorizados a revascularización percutánea de todas las lesiones no responsables del infarto en un segundo procedimiento (154 pacientes) o a realización de ecocardiograma de esfuerzo y revascularización sólo de las lesiones que mostraran isquemia miocárdica extensa (152 pacientes). El evento primario, el combinado de muerte cardiovascular, infarto agudo de miocardio, revascularización coronaria o reingreso por insuficiencia cardíaca tras 12 meses de seguimiento no mostró diferencias significativas entre las dos estrategias y tampoco cuando el seguimiento se extendió hasta un máximo de tres años. En el grupo de revascularización guiada con ecocardiograma de esfuerzo se detectó isquemia miocárdica en 64 pacientes y en 44 se realizó un procedimiento de revascularización de alguna lesión no responsable del infarto. Los costes del tratamiento al alta hospitalaria y tras un año de seguimiento fueron significativamente menores en los pacientes aleatorizados a una estrategia de revascularización guiada con ecocardiograma de esfuerzo.","This doctoral thesis is a clinical trial that compares two non-culprit vessel revascularization strategies in patients with ST segment elevation acute myocardial infarction and multivesel disease who have a successful percutaneous revascularization procedure in the infarct related artery. Patients were randomized to percutaneous revascularization of all non-infarct related coronary lesions in a second elective procedure (154 patients) or to a stress echocardiography and percutaneous revascularization of those coronary stenoses showing extensive myocardial isquemia (152 patients). The primary endpoint (the composite of cardiovascular death, myocardial infarction, coronary revascularization or readmission due to heart failure at 12 months follow-up) did not show any significant difference between study groups even when follow-up was extended up to three years. Myocardial isquemia was detected in 64 patients randomized to stress echocardiography and in 44 patients of this study group a revascularization procedure in a non-infarct related coronary lesion was performed. Medical expenses at hospital discharge and after one year follow-up were significantly lower in the stress echocardiography-guided revascularization strategy."
"La frustración es un fenómeno que puede mitigarse si previamente se han tenido experiencias con bajos niveles de refuerzo. El CSNc ha demostrado ser un modelo muy complejo. Mientras que del primer al segundo día la respuesta conductual se va atenuando, la respuesta registrada mediante la evaluación fisiológica tiende a presentarte a lo largo del tiempo. Dicha respuesta fisiológica se mantiene en el segundo día tras 300 min después de la devaluación del reforzador. La frustración implica procesos como la memoria, el aprendizaje y la ansiedad. La reducción de la frustración en postcambio 1 y 2 a través de una sola administración de fármacos agonistas Sig1R parece apoyar esta hipótesis, mientras que los fármacos antagonistas Sig1R han mostrado resultados controvertidos.","Frustration can be mitigated if there has been previous experiences with similar low levels of reinforcement. SNC has demonstrated to be a very complex model. From the first to the second postshift day, the behavioral response has been attenuated. From the physiological evaluation carried out, the response recorded tends to remain over the days. That physiological response is maintained on the second postshift day, 300 minutes after the devaluation of the enhancer. Frustration involves processes such as memory, learning and anxiety. The reduction of frustration in post-shift 1 and 2 through a single administration of Sig1R agonist drugs supports this hypothesis. However the effects of the Sig1R antagonist drugs are controversial."
"Las políticas lingüísticas europeas promueven la formación de un ciudadano plurilingüe, para lo cual es necesario utilizar una metodología que favorezca este aprendizaje, como el enfoque AICLE. Por otro lado, la Educación Musical favorece el desarrollo de diferentes competencias, como la lingüística, máxime si ambas se inician a edades tempranas. Partiendo de la hipótesis de que la integración de la Educación Musical como herramienta en el aula de lengua extranjera favorece su adquisición, este trabajo se centra en el estudio y aplicación de las sinergias de ambas áreas. Para ello, tras la elaboración del marco teórico se analiza el empleo de la música en el aula de lengua extranjera a través de la observación y la entrevista. Finalizado el análisis se destacan las ventajas del trabajo en conjunto y se concluye la necesidad de una mayor formación del profesorado, tanto en metodologías para el plurilingüismo como para la docencia musical en Educación Infantil. Por último, teniendo en cuenta las conclusiones extraídas del marco teórico y los resultados del estudio, se diseña una propuesta de intervención interdisciplinar en la que se ejemplifica cómo aplicar el enfoque AICLE y el trabajo de la Educación Musical en Educación Infantil.","European language policies promote the training of a plurilingual citizen. For this, it is necessary to use a methodology that supports this learning, such as the CLIL approach. Furthermore, music education stimulates the development of different skills, such as language, especially if both are started at an early age. Based on the hypothesis that the integration of Musical Education as a tool in the foreign language classroom promotes its acquisition, this work focuses on the study and application of synergies in both areas. For it, after the elaboration of the theoretical framework, the use of music in the foreign language classroom is analysed through the observation and the interview. Once the analysis has been completed, the advantages of working them together are highlighted and the need of teacher training is concluded, both in methodologies for multilingualism and for musical teaching in Early Childhood Education. Finally, taking into account the conclusions drawn from the theoretical framework and the results of the study, an interdisciplinary intervention proposal is designed in which it is exemplified how to apply the CLIL approach and the work of Musical Education in Early Childhood Education."
"Los pabellones de conveniencia han tenido un profundo impacto en las actividades marítimas. La ausencia de una regulación específica de este fenómeno y de una definición clara de la relación auténtica que debe existir entre un buque y su Estado de pabellón ha marcado su régimen jurídico. Asimismo, ha motivado la adopción de múltiples tratados internacionales para abordar las consecuencias negativas de la utilización de pabellones de conveniencia y para tratar de matizar el principio de jurisdicción exclusiva del Estado de pabellón en alta mar. Sin embargo, uno de los problemas fundamentales relacionados con los pabellones de conveniencia, como es la falta de transparencia sobre la identidad del verdadero propietario del buque, permanece sin resolver. El objetivo de este trabajo es, por un lado, analizar las consecuencias de la interpretación de las disposiciones de Derecho internacional público sobre la nacionalidad y registro de los buques por los tribunales internacionales sobre los pabellones de conveniencia y, por otro lado, estudiar los esfuerzos para eliminar los efectos más perniciosos de la utilización de pabellones de conveniencia a través de la progresiva introducción de estándares para el ejercicio de la libertad de navegación y para desalentar las actividades ilícitas en el mar.","Flags of convenience have had a deep impact on maritime activities. The absence of specific provisions on this phenomenon and the lack of a clear definition of the genuine link that must exist between a ship and its flag State have left its footprint on its legal regime. Furthermore, it has led to the adoption of a plethora of international treaties dealing with the negative consequences of the use of flags of convenience and the qualification of the principle of exclusive flag State jurisdiction on the high seas. However, one of the fundamental problems related to flags of convenience, namely the lack of transparency regarding the identity of the beneficial owner of the ship, remains unsolved. The purpose of this work is, on the one hand, to analyse the consequences of the interpretation of the International Law provisions on ship nationality and registration by international courts on flags of convenience, and, on the other hand, to examine the endeavours to eliminate the most pernicious effects of the use of flags of convenience through the progressive implementation of standards to exercise the freedom of navigation and to deter illegal activities at sea."
"RESUMEN La presente tesis doctoral pretende avanzar en el conocimiento sobre la ecología de las de aves marinas en relación a su distribución espacial y sus tendencias poblacionales en el ámbito de las áreas marinas protegidas. Los resultados y conclusiones obtenidos en los trabajos que componen esta tesis buscan aportar nueva información y soluciones reales que mejoren el estado de conservación del mar a la vez que aspiran a ser herramientas prácticas que puedan ser utilizadas por gestores o investigadores en la toma de decisiones para la protección, conservación y gestión del medio marino.Para ello, en el desarrollo de los diferentes capítulos de este trabajo se han aplicado diferentes técnicas de modelado espacial (análisis de densidad Kernel y diversos modelos generalizados) y análisis demográficos (modelos de dinámica de sistemas) a una serie temporal de datos de especies indicadoras del medio, las aves marinas. Los trabajos se han realizado en el marco de dos áreas marinas protegidas: la Zonas de Especial Protección para las Aves (ZEPA) Área Marina del Golfo de Cádiz y la ZEPA Área Marina del Archipiélago de las Berlengas.Los resultados obtenidos muestran que el área clave para la pardela balear en el Golfo de Cádiz se localiza en aguas poco profundas entre la desembocadura del Guadalquivir y la zona marina frente a la Bahía de Cádiz y que la delimitación de la actual ZEPA cubre menos del 40% de dicha área clave. Ante estos resultados, se hace necesario extender esta área marina protegida hacia el sureste de su posición actual para cubrir toda la superficie clave identificada para la especie. Además, los resultados ponen de manifiesto la necesidad de utilizar datos robustos procedentes de series temporales largas para delimitar áreas marinas protegidas de manera consistente.En el segundo capítulo se demuestra que las variables abióticas, como la batimetría o la distancia al Guadalquivir, han resultado ser mejores predictores del hábitat esencial de la pardela balear frente a factores bióticos, como la concentración de clorofila. Estos resultados difieren de los encontrados por otros autores en otras áreas de distribución de la especie y nos indican que, en ambientes oceánicos altamente dinámicos, el desfase espacio-temporal entre la producción primaria y los consumidores puede alterar las previsibles relaciones directas.En el tercer capítulo se relaciona la distribución de las principales especies de aves marinas en el Golfo de Cádiz con el alimento que consumen. Los resultados de los mejores modelos indican que, para las principales especies, la distribución de las aves marinas está correlacionada y altamente solapada con la de sus presas naturales, peces pequeños pelágicos. Particularmente, la distribución de especies prioritarias, como la pardela balear, se encuentra determinada en el Golfo de Cádiz por la presencia de boquerón y sardina de talla mediana. Otras especies no muestran estas correlaciones, lo que podría indicar que explotan recursos distintos a las especies presa estudiadas.Finalmente, en el último capítulo de esta tesis doctoral se ha demostrado como la aplicación de modelos de dinámica de sistemas a la población de cormorán moñudo en la ZEPA de las Islas Berlengas ofrece una herramienta muy eficaz en la toma de decisiones en la gestión de las áreas marinas protegidas. En este sentido, las simulaciones señalan a las especies invasoras como las ratas y la mortalidad asociada a la captura accidental por la actividad pesquera como las principales amenazas del cormorán moñudo.Sin aplicar ninguna medida de gestión, la población de cormorán moñudo descendería un 7% en las Islas Berlengas en la próxima década. Sin embargo, esta población relicta podría aumentar notablemente si se mantiene el archipiélago libre de carnívoros invasores y se aplican medidas de mitigación para reducir la muerte de cormorán moñudo por bycatch.En las diferentes investigaciones llevadas a cabo en esta tesis doctoral se demuestra la utilidad de la aplicación de modelos estadísticos al estudio de especies de depredadores marinos indicadoras del medio. En este caso, la conservación de las aves marinas y las áreas marinas protegidas del ámbito de estudio son esenciales para una eficaz protección y gestión del ecosistema marino. Prueba de ello es la reciente propuesta de ampliación de la ZEPA Área Marina del Golfo de Cádiz, basada en los resultados de esta tesis doctoral, que ha sido aceptada por el Ministerio para la Transición Ecológica y el Reto Demográfico en el marco del proyecto LIFE-IP INTEMARES.","ABSTRACT This PhD thesis aims to advance the knowledge about the ecology of seabird species in relation to their spatial distribution and their population trends within the framework of the marine protected areas. The results and conclusions obtained in this study seek to provide new information and real solutions to improve the conservation status of the sea. At the same time, they aspire to be practical tools that can be used by managers or researchers in making decisions concerning the protection, conservation and management of the marine environment.To this end, different spatial modelling techniques (kernel density analysis and generalised models) and demographic analysis (system dynamics models) have been applied to a long-term data series of bioindicator species of the marine environment (seabirds) within the framework of two marine protected areas: The Special Protection Area for Birds (SPA) Marine Area of the Gulf of Cádiz (Spain) and the Marine Area of the Berlengas Archipelago (Portugal).The results obtained show that the key area for the Balearic shearwater in the Gulf of Cádiz is located in shallow waters between the mouth of the Guadalquivir River and the marine area located off the Bay of Cádiz, and therefore, the delimitation of the current SPA covers less than 40% of this key area. Against this background, it is necessary to extend this marine protected area to the southeast of its current position to cover the entire key area identified for the species. In addition, the results highlight the need to use robust data over a long time period to consistently identify marine protected areas.In the second chapter, it is shown that abiotic variables, such as bathymetry or the distance to the Guadalquivir River, have turned out to be better predictors of the essential habitat of the Balearic shearwater compared to biotic factors, such as chlorophyll concentration.These results differ from those found by other authors in other areas of the species and indicate that in highly dynamic oceanic environments the spatio-temporal lag between primary production and consumers can alter the foreseeable direct relationships.In the third chapter, the distribution of the main species of seabirds in the Gulf of Cádiz is related to the food they consume. The results of the best models indicate that, for the main species, the distribution of seabirds is correlated and highly overlapped with that of small pelagic fish, their natural prey. In particular, the distribution of priority species, such as the Balearic shearwater, is determined by the presence of medium-sized anchovies and sardines in the Gulf of Cádiz. Other species do not show these correlations, which could indicate that they exploit other resources than the prey species studied.In the last chapter, it is demonstrated how the application of systems dynamics models to the Shag population in the Berlengas Archipelago SPA offers a very effective decision- making tool in the management of marine protected areas. In this sense, the simulations indicate invasive species such as rats and mortality associated with accidental capture due to fishing activity as the main threats to the Shag. Without applying any management measures, Shag population would decline by 7% in the Berlengas Islands in the next decade.However, this relict population could increase significantly if the archipelago is kept free of invasive carnivores and mitigation measures are applied to reduce bycatch.In the research carried out for this thesis, the usefulness of applying statistical models to the study of marine predator species as ecological indicators is demonstrated. In this case, the conservation of seabirds and the marine protected areas in the study area are essential for effective conservation and management of the marine ecosystem. Proof of this is the recent proposal to expand the Marine Area of the Gulf of Cádiz SPA, based on the results of this doctoral thesis, which has been accepted by the Ministry for the Ecological Transition and the Demographic Challenge within the framework of the LIFE-IP INTEMARES project."
"En la actualidad, la energía es el principal eje vertebrador del desarrollo de la humanidad. Las fuentes de energía que han sido utilizadas a gran escala tradicionalmente han sido los combustibles fósiles (petróleo, carbón y gas natural). Estos combustibles fósiles van poco a poco siendo sustituidos por las energías renovables.El uso de combustibles fósiles tiene una gran limitación, ya que su aprovechamiento es finito. Esto origina conflictos políticos que pueden generar tensiones entre países, siendo siempre los países menos desarrollados los más castigados. Además, tiene otras desventajas, ya que en su utilización producen emisiones que son las principales causantes del efecto invernadero y su influencia en el cambio climático.Desde hace unos años hasta la actualidad, la mayoría de los países desarrollados del planeta, vienen apostando por una transición “verde”, intentando aumentar el consumo de fuentes de energía “limpias” y renovables en detrimento de los combustibles fósiles. Este cambio en el sistema energético es una apuesta a medio plazo que pretende llegar a tener sistemas energéticos que basen la mayor parte de su consumo en las energías renovables.Para ello se va mejorando paulatinamente en el aprovechamiento energético y en mejoras en el rendimiento de estas fuentes de energía, así como en la creación de nuevos parques de energías renovables y la sustitución de aquellas centrales de energía cuyo combustible se basaba en los combustibles fósiles o la energía nuclear.Este cambio a gran escala también va tomando conciencia de forma individual, ya que, en el sistema de abastecimiento energético actual, se va integrando poco a poco el autoconsumo. Este autoconsumo presenta ciertas ventajas, ya que por ejemplo la energía es producida por el propio consumidor, aprovechando más cantidad de energía y reduciendo pérdidas en el trasporte de la misma.En todo proceso de cambio importan una serie de factores. El principal factor que se tiene en cuenta es el económico. Afortunadamente, este factor no es el único que tiene valor en la actualidad, ya que otro factor cada día más importante es el factor ambiental.El presente trabajo se centra en una de estas energías renovables que están en auge en la actualidad: la energía geotérmica. Dentro de este tipo de energía, la presente tesis doctoral trata del análisis del impacto ambiental, basado en el análisis de ciclo de vida, aplicados a viviendas unifamiliares o edificios de baja potencia.Para analizar los impactos que genera esta energía han sido desarrollados diferentes estudios detallados aplicados a viviendas unifamiliares y edificios de baja potencia. Estos estudios se han realizado para diferentes instalaciones geotérmicas, con el objetivo de encontrar correlaciones entre los citados impactos y la potencia de las instalaciones geotérmicas.","Nowadays, energy is the main backbone of human development. Traditionally, the energy sources that have been used on a large scale have been fossil fuels (oil, coal, and natural gas). However, these fossil fuels are gradually being replaced by renewable energy.The use of fossil fuels has an important limitation since its use is finite. This fact can create political conflicts and trouble between countries, with less developed countries always being the most affected ones. In addition, fossil fuels present other disadvantages, since the emissions they produce are the main cause of the greenhouse effect, and its influence on the climatic change.In the last years, most developed countries have been putting faith in a ‘green’ transition, trying to increase the consumption of ‘clean’ and renewable energy sources instead of fossil fuels. This change in the energy system is a medium-term commitment that aims to have energy systems basing most of the consumption on renewable energy.To this end, society is gradually progressing in the use and efficiency of these energy sources, as well as in the creation of new renewable energy parks and the replacement of those energy plants whose fuel was based on fossil fuels or nuclear energy.Society is also becoming individually aware of this large-scale change, as self-consumption is gradually integrated into the current energy supply system. This self-consumption has some advantages, since, for instance, the energy is produced by the consumers themselves, having available more energy and reducing losses in energy transportation.There is an important number of factors in any change process. Although the main one considered is the economic factor, society is also becoming aware of the importance of the social and the environmental factors."
 como lengua extranjera; Sociolingüística; Variedades lingüísticas; Manual didácticos; Formación de profesores.,"El español se habla en más de una veintena de países esparcidos por todo el mundo y su significativa diversidad lingüística es una de sus mayores riquezas. Este fenómeno, además, se observa de una manera especial cuando evidenciamos que sus variedades conservan un estándar que posibilita casi siempre la intercomprensión entre hablantes de diferentes regiones, especialmente en el nivel culto. Consideramos que este hecho no debería pasar inadvertido a los profesionales brasileños que trabajan en la enseñanza de este idioma a la hora de preparar las clases, elaborar materiales y programar cursos. Las necesidades, gustos y expectativas de nuestros estudiantes respecto del conocimiento de las variedades lingüísticas del español y la cercanía geográfica que tiene nuestro país con un entorno multidialectal de la lengua española son razones suficientes para replantear su inserción. Desafortunadamente, observamos tendencias homogeneizadoras y eurocéntricas que impiden el tratamiento plural de la lengua española en la educación brasileña. Así pues, el objetivo de nuestra investigación es describir el panorama de la enseñanza del español en relación con la presencia y tratamiento de los fenómenos de variación lingüística, específicamente en el noreste brasileño, para detectar los problemas que conlleva su aplicación y proponer un inventario de contenidos de rasgos fonéticos y gramaticales para los tres cursos escolares de la enseñanza media. Para ello, hemos recogido datos en diferentes ámbitos donde puede estar presente la variación lingüística: formación de profesores de español, manuales didácticos, creencias, actitudes y conocimiento de los docentes respecto a este tema. Debido a esta diversidad de campos de investigación, hemos utilizado variados procedimientos metodológicos en el desarrollo de la recogida e interpretación de los datos. El aporte teórico de nuestra tesis doctoral se basa en diversos campos del conocimiento pero, sobre todo, en los estudios de la variación lingüística de la Sociolingüística como Labov (2008), Tagliamonte (2006), López Morales (2015), Calvet (2011), Lucchesi (2004), Moreno Fernández (2009, 2012) y de autores que abogan por una enseñanza plural respecto a las variedades del español tales como Andión (2007, 2008, 2013, 2019, 2020), Andión y Casado (2014), Moreno Fernández (2004, 2007, 2010, 2017) y Acuña (2015). Los resultados de los análisis demuestran que las variedades lingüísticas del español se tratan todavía de forma anecdótica, superficial y sin una secuenciación lógica de contenidos, a pesar de que los profesores, las carreras de grado y las guías didácticas de los manuales hacen hincapié en su importancia en el aula. Nuestra propuesta de inventario de contenidos establece criterios para la inserción y el tratamiento de los principales fenómenos de variación fonético-fonológica y gramatical para nuestro contexto de enseñanza. De esta manera, esperamos contribuir a que tanto docentes como creadores de materiales didácticos para español como lengua extranjera en Brasil puedan encontrar información sociolingüística y didáctica sobre las variantes que pretenden enseñar o contemplar en los manuales.Palabras clave: Español como lengua extranjera; Sociolingüística; Variedades lingüísticas; Manual didácticos; Formación de profesores."
"Los seres humanos y los animales experimentan un desarrollo morfológico desde la infancia hasta la edad adulta, que tiene lugar en paralelo con el desa rrollo cognitivo. De hecho, se ha demostrado que este proceso facilita el aprendizaje en los humanos. Sin embargo, la mayoría de los trabajos sobre robótica del desarrollo consideran morfologías fijas, abordando sólo el desarrollo del sistema cognitivo de los robots e ignorando la interacción entre el desarrollo cognitivo y el desarrollo morfológico. Además, los pocos casos encontrados en la literatura en que el desarrollo cognitivo y morfológico se abordan conjunta‐ mente en los sistemas robóticos presentan resultados bastante heterogéneos y no concluyentes en cuanto a las causas y los mecanismos que explican la in fluencia del desarrollo morfológico en el aprendizaje. En este trabajo se aborda el problema de la identificación de los rasgos del desarrollo morfológico que influyen en el aprendizaje, así como el cómo y el porqué de esta influencia. Para ello, se ha diseñado un marco experimental simple y controlado basado en morfologías de robots con patas y se ha realizado una extensa serie de experimentos para intentar responder a estas preguntas. Las conclusiones obtenidas de este trabajo experimental han sido validadas mediante la aplicación con éxito en un robot bípedo de una estrategia de desarrollo morfológico diseñada a partir de los conocimientos obtenidos. Esto nos ha permitido plantear un conjunto inicial de principios de diseño que deberían aplicarse para producir procesos de desarrollo morfológico exitosos para problemas particulares.","Humans and animals undergo morphological development from infancy to adulthood, which takes place in parallel with cognitive development. In fact, this process has been shown to facilitate learning in humans. However, most of the works on developmental robotics consider fixed morphologies, addressing only the development of the cognitive system of the robots and ignoring the interaction between cognitive development and morphological development. Moreover, the few cases found in the literature where cognitive and morphological development are jointly addressed in robotic systems present rather heterogeneous and inconclusive results regarding the causes and the mechanisms that explain the influence of morphological development on learning. This work addresses the problem of identifying those features of morphological development that influence learning, as well as how and why this influence comes about. To this end, a simple and controlled experimental framework based on legged robot morphologies has been designed and an extensive series of experiments have been run in order to try to answer these questions. The conclusions obtained from this experimental work have been validated through the successful implementation on a bipedal robot of a morphological development strategy designed using the insights obtained. This has allowed us to posit an initial set of design principles that should be applied in order to produce successful morphological development processes for particular problems."
