,Spanish,English
0,La violencia en sus diversas variantes está presente en todos los ámbitos de la sociedad.,Violence in its several variations is present in all areas of society.
1,"Este fenómeno impacta a un alto por ciento de los niños en todo el mundo, tanto en países desarrollados, como en los que se presentan altos niveles de desigualdades entre sus habitantes y la paridad del poder adquisitivo.","This phenomenon impacts a high percentage of children worldwide, both in developed countries and in those with high levels of disparities among its people and obtaining power equality."
2,"La globalización y la continua búsqueda de las naciones por desarrollar tecnologías emergentes ha traído consigo grandes beneficios para la humanidad, prosperidad y trascendencia en las fronteras culturales.","Globalization and the continued quest of nations to develop emerging technologies has brought great benefits to humanity, prosperity, and transcendence on cultural boundaries."
3,"Asimismo, son estas nuevas tecnologías las que pueden llegar a fomentar las desigualdades, conductas antisociales y la legitimación de los actos de violencia entre iguales.","It is also these new technologies that can foster inequalities, anti-social behaviors, and the legitimization of acts of peer violence."
4,"La educación está en constante transmutación como consecuencia de los factores políticos, sociales, culturales y globales que permean sus contextos.","Education is constantly changing because of the political, social, cultural, and global factors that permeate its contexts."
5,"La investigación titulada: Estudio de la opinión de los futuros docentes sobre la violencia escolar y sus repercusiones en el ámbito de la educación superior: Estrategias de prevención e intervención; adviene ante las alarmantes cifras de violencia en los contextos escolares, no solo en Puerto Rico, también a nivel mundial.","Estudio de la opinión de los futuros docentes sobre la violencia escolar y sus repercusiones en el ámbito de la educación superior: Estrategias de prevención e intervención; comes because of the alarming number of violence events in school contexts, in Puerto Rico and globally."
6,Reconociendo la aventajada postura que exhibe el maestro en los escenarios escolares para la transformación de la vida de sus alumnos y la prevención de los actos de agresión y violencia pretendemos establecer la posible relación entre la violencia escolar y el nivel de capacitación que tiene el futuro profesorado para enfrentar situaciones de violencias en los ambientes escolares.,Recognizing the valuable attitude that teacher exhibits in school settings for the transformation of the lives of their students and the prevention of hostility acts and violence and the level of training that the future teachers have to face situations of violence in school environments.
7,"Asimismo, comprendan e implanten estrategias efectivas dirigidas a la prevención e intervención para combatir los actos violentos entre iguales; creando un ambiente seguro y de paz en la comunidad de aprendizaje.","They also include and implement effective strategies aimed at prevention and intervention to combat violent acts among the same, creating a safe and peaceful environment in the learning community."
8,"Esta tesis doctoral es un ensayo clínico que, en pacientes con infarto agudo de miocardio con elevación del segmento ST y enfermedad multivaso en los que se trata con éxito la arteria responsable del infarto mediante intervencionismo coronario, compara dos estrategias de revascularización de las lesiones no responsables del infarto.",This doctoral thesis is a clinical trial that compares two non-culprit vessel revascularization strategies in patients with ST segment elevation acute myocardial infarction and multivesel disease who have a successful percutaneous revascularization procedure in the infarct related artery.
9,Los pacientes fueron aleatorizados a revascularización percutánea de todas las lesiones no responsables del infarto en un segundo procedimiento (154 pacientes) o a realización de ecocardiograma de esfuerzo y revascularización sólo de las lesiones que mostraran isquemia miocárdica extensa (152 pacientes).,Patients were randomized to percutaneous revascularization of all non-infarct related coronary lesions in a second elective procedure (154 patients) or to a stress echocardiography and percutaneous revascularization of those coronary stenoses showing extensive myocardial isquemia (152 patients).
10,"El evento primario, el combinado de muerte cardiovascular, infarto agudo de miocardio, revascularización coronaria o reingreso por insuficiencia cardíaca tras 12 meses de seguimiento no mostró diferencias significativas entre las dos estrategias y tampoco cuando el seguimiento se extendió hasta un máximo de tres años.","The primary endpoint (the composite of cardiovascular death, myocardial infarction, coronary revascularization or readmission due to heart failure at 12 months follow-up) did not show any significant difference between study groups even when follow-up was extended up to three years."
11,En el grupo de revascularización guiada con ecocardiograma de esfuerzo se detectó isquemia miocárdica en 64 pacientes y en 44 se realizó un procedimiento de revascularización de alguna lesión no responsable del infarto.,Myocardial isquemia was detected in 64 patients randomized to stress echocardiography and in 44 patients of this study group a revascularization procedure in a non-infarct related coronary lesion was performed.
12,Los costes del tratamiento al alta hospitalaria y tras un año de seguimiento fueron significativamente menores en los pacientes aleatorizados a una estrategia de revascularización guiada con ecocardiograma de esfuerzo.,Medical expenses at hospital discharge and after one year follow-up were significantly lower in the stress echocardiography-guided revascularization strategy.
13,Los pabellones de conveniencia han tenido un profundo impacto en las actividades marítimas.,Flags of convenience have had a deep impact on maritime activities.
14,La ausencia de una regulación específica de este fenómeno y de una definición clara de la relación auténtica que debe existir entre un buque y su Estado de pabellón ha marcado su régimen jurídico.,The absence of specific provisions on this phenomenon and the lack of a clear definition of the genuine link that must exist between a ship and its flag State have left its footprint on its legal regime.
